year,archive,a_file,b_file,h_file,a_rows,dsl_unique,state_column,district_column,industry_column,weight_column,status_column,psl_column,psl_unique,psl_missing_share,psl_masked_share,psl_top_share,cin_column,cin_unique,cin_missing_share,cin_masked_share,cin_top_share,h_rows,h_factories,own_rows,own_positive_rows,purchased_rows,purchased_positive_rows,unmet_rows,unmet_positive_rows,unmet_row_share_of_h_factories,unmet_weighted_positive_factories,tn_purchased_rows,tn_unmet_rows,tn_unmet_positive_rows,self_generation_share_weighted_kwh,realized_cost_median,realized_cost_p01,realized_cost_p99
2000,ASI_DATA_2000_01_CSV.zip,ASI_DATA_2000_01_CSV/A-IDENTIFICATION PARTICULARS.csv,ASI_DATA_2000_01_CSV/B-OWNER'S DETAIL.csv,ASI_DATA_2000_01_CSV/H1-CONSUMPTION FUELS ELECTRICITY AND WATER.csv,41096,41096,A_Itm_7,A_Itm_8,A_Itm_5,WGT,A_Itm_12,A_Itm_2,1.0,0.0,1.0,1.0,,,,,,203579,31961,12311,12309,30873,30873,0,0,0.0,0.0,4667,0,0,0.5141308757324912,4.200109950522265,1.999997654320888,6.851276017707234
2001,ASI_DATA_2001_02_CSV.zip,ASI_DATA_2001_02_CSV/A-IDENTIFICATION PARTICULARS.csv,ASI_DATA_2001_02_CSV/B-OWNER'S DETAIL.csv,ASI_DATA_2001_02_CSV/H-INPUT ITEMS INDIGENOUS.csv,42242,42242,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,A_Itm2,1.0,0.0,1.0,1.0,,,,,,351387,34300,12494,12494,32873,32873,4385,0,0.12784256559766763,0.0,4633,701,0,0.420291962158067,4.350022099447513,2.0,7.000257445969194
2002,ASI_DATA_2002_03_CSV.zip,ASI_DATA_2002_03_CSV/A-IDENTIFICATION  PARTICULARS.csv,ASI_DATA_2002_03_CSV/B-OWNER'S DETAIL.csv,ASI_DATA_2002_03_CSV/H-INPUT ITEMS INDIGENOUS.csv,41846,41846,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,,,,,,,,,,,356618,34610,12649,12644,33184,33184,2641,0,0.07630742559953771,0.0,4634,321,0,0.3903779901349695,4.520316973383577,2.0001429496132834,6.816438763500156
2003,ASI_DATA_2003_04_CSV.zip,ASI_DATA_2003_04_CSV/A-IDENTIFICATION  PARTICULARS.csv,ASI_DATA_2003_04_CSV/B-OWNERS DETAIL.csv,ASI_DATA_2003_04_CSV/H-INPUT ITEMS INDIGENOUS.csv,56889,56889,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,A_Itm2,1.0,0.0,1.0,1.0,,,,,,499536,46660,16259,16257,44695,44695,2328,0,0.04989284183454779,0.0,5615,226,0,0.32676674773656167,4.640874852438087,2.3696949275095065,6.857231539892885
2004,ASI_DATA_2004_05_CSV.zip,ASI_DATA_2004_05_CSV/A-IDENTIFICATION PARTICULARS.csv,ASI_DATA_2004_05_CSV/B-OWNERS DETAIL.csv,ASI_DATA_2004_05_CSV/H-INPUT ITEMS INDIGENOUS.csv,49340,49340,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,,,,,,,,,,,434581,40714,13895,13893,39206,39206,1654,1649,0.04062484649015081,4586.0189,6029,143,141,0.30851903308490963,4.691957715399434,2.579979574117314,6.948108059683967
2005,ASI_DATA_2005_06_CSV.zip,ASI_DATA_2005_06_CSV/BlockA0506.csv,ASI_DATA_2005_06_CSV/BlockB0506.csv,ASI_DATA_2005_06_CSV/BlockH0506.csv,57304,57304,State,District,,Multiplier,Status,,,,,,,,,,,473142,44731,14305,14305,43008,42474,2084,2084,0.046589613467170415,5584.277300000001,6231,116,116,0.3959745333083791,4.718861944777815,2.449999916170941,7.00000059707236
2006,ASI_DATA_2006_07_CSV.zip,ASI_DATA_2006_07_CSV/BLOCK-A.csv,ASI_DATA_2006_07_CSV/BLOCK-B.csv,ASI_DATA_2006_07_CSV/BLOCK-H.csv,66875,66875,State,District,,Multiplier,Status,,,,,,,,,,,474412,44495,14632,14624,42726,41808,2117,41,0.04757837959321272,41.0,4908,91,2,0.3712672519332295,4.778543077857142,2.340028958525302,7.000006467108207
2007,ASI_DATA_2007_08_CSV.zip,ASI_DATA_2007_08_CSV/BlockA200708.csv,ASI_DATA_2007_08_CSV/BlockB200708.csv,ASI_DATA_2007_08_CSV/BlockH200708.csv,56888,56888,State,District,,Multiplier,Status,,,,,,,,,,,420016,38853,12993,12964,37475,36473,1785,0,0.04594239827040383,0.0,4130,80,0,0.34513265245717484,4.849999791591118,2.357373363246268,7.9135548496980395
2008,ASI_DATA_2008_09_CSV.zip,ASI_DATA_2008_09_CSV/A-IDENTIFICATION  PARTICULARS.csv,ASI_DATA_2008_09_CSV/B-OWNERS DETAIL.csv,ASI_DATA_2008_09_CSV/H-INPUT ITEMS INDIGENOUS.csv,54348,54348,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,,,,,,,,,,,413950,38732,13227,13227,37606,36457,0,0,0.0,0.0,5333,0,0,0.3870885792565134,4.969900339955792,2.4100010270334207,8.000037862821463
2009,ASI_DATA_2009_10_CSV.zip,ASI_DATA_2009_10_CSV/A-IDENTIFICATION  PARTICULARS.csv,ASI_DATA_2009_10_CSV/B-OWNERS DETAIL.csv,ASI_DATA_2009_10_CSV/H-INPUT ITEMS INDIGENOUS.csv,57113,57113,A_Itm7,A_Itm8,A_Itm5,WGT,A_Itm12,A_Itm2,1.0,0.0,1.0,1.0,,,,,,444283,42624,13505,13505,41190,39876,0,0,0.0,0.0,6017,0,0,0.3616944493502265,5.0,2.799991414501068,8.35700315569151
2010,ASI_DATA_2010_11_CSV.zip,ASI_DATA_2010_11_CSV/blka201011.csv,ASI_DATA_2010_11_CSV/blkb201011.csv,ASI_DATA_2010_11_CSV/blkh201011.csv,52243,52243,StateCode,District,NIC5digit,Multilplier,Statusofunit,PSL,1.0,0.0,1.0,1.0,,,,,,454276,43932,14302,14283,42673,41228,2233,2233,0.05082855321861058,8020.9226,6476,411,411,0.44765602966115836,5.250014445389647,2.96,8.048562793687296
